WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum_&_Vola;Kursperform 6 M;Kursperform_1_J;Delta_52_Wochen_Hoch;Vola_1_J;Bewertung;KUV;Free_Cash_Flow;PEG_Ratio;KGV_(2023);KGV_(2024);Kursziel;Wachstum;Umsatzwachstum_ueber_5_J;EPS-Wachstum_ueber_5_J;Umsatzwachstum_(2023);Umsatzwachstum_(2024);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2023);Wachstum_des_verwaesserten_Gewinns_je_Aktie_(2024);Qualitaet_und_Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet_dritten_Grades;Liquiditaet_zweiten_Grades;Verhaeltnis_aus_Schulden_zum_EK;Verhaeltnis_aus_Schulden_und_Vermoegenswerten;Zinsdeckungsgrad;Dividende_&_Aktienrueckkaeufe;Gesamtrendite;Payout_Ratio;Dividende_(2023);Dividende_(2024
A3DW3V;Mobileye Global;US60741F1049;Autoteile;Zyklische Konsumgüter;-;30;-22,21;23,06;-25,90;0,547;4;14,99;65,05;-;-;-;;-;-;-;-;-;-;-;57;-0,94;-3,74;95,81;3,95;3,37;-;-;-33,33;-;-;-;-;-
A1JPLB;Aptiv PLC;JE00B783TY65;Autoteile;Zyklische Konsumgüter;57;39;-12,36;6,34;-25,88;0,335;54;1,30;77,22;0,68;19,48;14,93;40,04;85;39,54;17,34;15,17;9,49;141,87;30,48;61;10,32;8,76;40,25;1,60;1,07;79,02;31,81;552,05;29;0,35;22,86;0,10;0,20
A3DL84;Michelin;FR001400AJ45;Autoteile;Zyklische Konsumgüter;74;85;-2,43;7,73;-9,35;0,211;56;0,71;16,22;6,99;9,01;8,72;18,38;29;30,54;37,65;0,58;1,97;13,89;3,28;59;14,16;11,70;48,41;1,67;0,78;42,90;20,77;863,22;79;4,30;44,80;5,00;5,30
868610;Magna International Inc.;CA5592224011;Autoteile;Zyklische Konsumgüter;66;46;4,61;-13,86;-22,91;0,344;79;0,38;106,11;0,80;9,76;7,88;28,92;70;-;-;7,55;5,30;9,45;23,84;40;8,38;3,55;39,35;1,14;0,73;46,39;18,26;796,83;50;4,68;89,16;3,50;3,60
620200;Salzgitter AG;DE0006202005;Stahl;Grundstoffe;46;18;-36,94;0,53;-45,35;0,401;94;0,11;12,09;0,83;5,73;5,26;22,95;5;16,26;-21,66;-14,07;-7,58;-80,18;8,96;44;10,23;5,44;43,59;1,86;0,86;35,09;15,30;1.682,47;73;3,98;5,00;4,20;4,00
851918;Nucor Corp.;US6703461052;Stahl;Grundstoffe;61;50;-8,02;5,19;-21,93;0,349;56;0,99;5,22;5,50;7,96;11,78;21,67;10;36,43;139,87;-17,61;-6,36;-38,20;-32,45;89;30,07;20,66;56,70;3,39;1,95;36,34;20,60;4.779,91;52;6,27;6,98;1,40;1,40
A2DRTZ;ArcelorMittal S.A.;LU1598757687;Stahl;Grundstoffe;61;29;-20,52;-10,20;-33,17;0,297;99;0,30;5,88;0,38;4,28;5,00;57,92;3;-6,75;-0,15;-11,21;-2,38;-50,41;-14,44;56;7,67;7,50;56,22;1,66;0,66;21,92;12,32;2.590,04;67;8,65;2,16;2,30;2,60
903772;Steel Dynamics Inc.;US8581191009;Stahl;Grundstoffe;66;42;-8,13;7,80;-26,55;0,389;54;0,88;5,51;11,95;6,76;11,20;6,20;14;58,57;173,35;-15,79;-9,79;-30,17;-39,69;89;36,80;19,47;57,42;3,76;2,12;37,77;21,68;5.585,23;63;10,68;6,50;1,70;1,80
892629;Reliance Steel & Alumin. Co.;US7595091023;Stahl;Grundstoffe;70;83;-0,91;33,16;-16,33;0,260;45;0,97;9,02;2,29;11,19;13,03;18,18;11;27,82;149,85;-13,41;-6,16;-27,24;-14,13;88;20,90;13,58;68,61;3,55;2,02;26,32;18,06;1.679,21;50;4,95;12,12;1,60;1,60
SHA015;Schaeffler AG;DE000SHA0159;Autoteile;Zyklische Konsumgüter;79;38;-19,83;1,64;-28,89;0,284;92;0,22;19,99;-;5,59;4,64;33,68;39;16,00;-28,84;4,51;4,22;13,16;20,44;36;15,06;6,52;28,12;1,62;0,80;87,28;24,54;787,10;94;8,25;54,22;7,90;8,80
A3DW3V;Mobileye Global;US60741F1049;Autoteile;Zyklische Konsumgüter;-;30;-22,17;23,13;-25,86;0,547;4;14,99;65,05;-;-;-;;-;-;-;-;-;-;-;57;-0,94;-3,74;95,81;3,95;3,37;-;-;-33,33;-;-;-;-;-
A1JPLB;Aptiv PLC;JE00B783TY65;Autoteile;Zyklische Konsumgüter;57;39;-12,30;6,41;-25,84;0,335;54;1,30;77,22;0,68;19,48;14,93;39,96;85;39,54;17,34;15,17;9,49;141,87;30,48;61;10,32;8,76;40,25;1,60;1,07;79,02;31,81;552,05;29;0,35;22,86;0,10;0,20
A3DL84;Michelin;FR001400AJ45;Autoteile;Zyklische Konsumgüter;74;85;-2,43;7,73;-9,35;0,211;56;0,71;16,22;6,99;9,01;8,72;18,38;29;30,54;37,65;0,58;1,97;13,89;3,28;59;14,16;11,70;48,41;1,67;0,78;42,90;20,77;863,22;79;4,30;44,80;5,00;5,30
868610;Magna International Inc.;CA5592224011;Autoteile;Zyklische Konsumgüter;66;46;4,61;-13,86;-22,91;0,344;79;0,38;106,11;0,80;9,76;7,88;28,92;70;-;-;7,55;5,30;9,45;23,84;40;8,38;3,55;39,35;1,14;0,73;46,39;18,26;796,83;50;4,68;89,16;3,50;3,60
723530;SGL CARBON SE;DE0007235301;Chemikalien;Grundstoffe;23;19;-27,47;-16,24;-37,38;0,320;73;0,75;26,18;1,51;12,14;8,44;83,04;37;8,33;43,62;-0,10;6,58;-53,05;43,91;53;12,68;6,07;38,46;2,62;1,39;69,79;26,84;434,28;13;0,00;287,72;0,30;0,40
BASF11;BASF SE;DE000BASF111;Chemikalien;Grundstoffe;56;43;-14,66;-9,55;-24,04;0,253;77;0,49;16,00;0,60;11,69;9,38;18,82;40;20,78;-31,30;-16,71;3,64;402,49;24,97;21;-4,53;0,38;46,85;1,83;0,89;52,94;24,80;265,05;94;8,77;56,67;8,20;8,00
A2PFRC;Dow Inc.;US2605571031;Chemikalien;Grundstoffe;43;61;-11,13;5,02;-19,14;0,241;36;0,73;9,32;3,47;21,69;13,09;14,01;10;-10,91;-63,31;-22,34;3,91;-64,08;65,76;49;9,01;6,38;34,19;1,81;1,03;80,64;27,57;1.019,94;89;8,55;44,59;5,70;5,90
A0DP2A;Celanese Corp. (Del.);US1508701034;Chemikalien;Grundstoffe;36;80;10,68;23,59;-10,74;0,356;35;1,27;20,74;4,10;12,84;9,43;13,48;59;56,18;1,03;15,53;5,08;-48,04;36,11;23;24,16;12,37;21,46;1,63;0,88;268,33;57,57;450,86;49;2,23;15,92;2,40;2,40
856200;Solvay S.A.;BE0003470755;Chemikalien;Grundstoffe;66;72;-8,84;6,63;-14,21;0,233;78;0,71;10,31;1,37;8,11;8,51;31,35;8;12,03;58,15;-21,23;1,89;-26,91;-4,70;57;12,31;10,18;51,32;1,44;0,79;27,89;14,31;1.922,88;69;3,86;22,13;3,80;3,90
723132;Sixt SE;DE0007231326;Miet- und Leasingdienstleistungen;Industrie;37;23;-25,88;-13,13;-37,76;0,300;48;0,79;neg.;27,09;11,27;10,99;60,44;39;19,85;-17,77;14,51;7,38;-9,15;2,77;44;21,24;16,61;35,66;2,58;0,49;126,56;45,13;1.471,60;78;4,68;50,06;4,50;4,70
911443;United Rentals Inc.;US9113631090;Miet- und Leasingdienstleistungen;Industrie;52;73;7,15;44,38;-16,51;0,374;49;2,27;54,03;1,12;10,22;9,59;22,05;82;76,54;201,94;22,03;3,94;34,49;6,52;40;33,98;27,50;29,20;1,11;0,96;173,08;50,54;729,66;27;3,65;-;1,00;1,00
894565;Ashtead Group PLC;GB0000536739;Miet- und Leasingdienstleistungen;Industrie;61;66;4,85;2,86;-20,00;0,278;41;2,67;141,08;1,58;16,18;12,90;;93;92,02;107,09;21,41;15,57;30,89;20,74;40;28,42;25,98;32,08;1,01;0,91;149,62;48,00;696,18;29;2,33;-;-;1,90
A0LFB3;AerCap Holdings N.V.;NL0000687663;Miet- und Leasingdienstleistungen;Industrie;62;78;10,89;2,80;-12,00;0,282;79;1,93;45,52;0,80;6,25;5,80;;66;60,23;34,54;11,22;2,09;211,85;7,70;40;11,87;26,10;23,12;4,12;3,75;289,55;66,93;-688,66;21;5,96;-;0,00;0,00
904412;U-Haul Holding Company;US0235861004;Miet- und Leasingdienstleistungen;Industrie;30;37;-15,01;-1,75;-25,61;0,353;30;1,82;neg.;2,35;13,35;11,58;;23;51,29;139,04;2,18;-2,78;-21,75;-18,32;67;12,61;23,09;36,02;1,63;1,37;94,46;34,02;659,33;48;0,14;0,72;-;-
A0DJ6J;SMA Solar Technology AG;DE000A0DJ6J9;Solar;Technologie;68;19;-42,11;20,86;-47,51;0,535;79;1,55;neg.;0,80;10,02;13,66;45,07;84;140,03;17,90;71,35;8,82;270,55;-26,66;72;35,14;11,01;41,76;1,89;0,94;8,28;3,12;1.069,09;28;0,77;37,04;0,00;0,10
A0LEKM;First Solar Inc.;US3364331070;Solar;Technologie;74;25;-27,13;24,76;-34,07;0,509;66;5,46;neg.;0,68;20,14;11,88;59,06;98;57,63;447,45;35,04;31,15;1.742,64;69,55;76;2,62;5,49;70,73;3,65;2,83;4,01;2,84;170,33;1;0,00;-;0,00;0,00
A1JC82;Enphase Energy Inc.;US29355A1079;Solar;Technologie;44;1;-55,19;-60,06;-70,39;0,594;59;6,44;24,51;1,93;19,93;15,91;69,83;97;731,04;4.082,87;12,72;13,41;70,73;26,92;72;80,45;24,13;26,77;3,55;3,22;156,95;42,01;4.889,66;8;1,22;-;0,00;0,00
A14QVM;SolarEdge Technologies Inc.;US83417M1045;Solar;Technologie;71;1;-73,65;-58,59;-75,75;0,652;86;1,94;neg.;0,27;8,94;7,94;185,58;97;304,25;226,30;21,82;18,20;447,03;13,60;80;13,35;10,61;51,02;3,26;2,33;33,65;17,17;1.879,74;2;0,00;-;0,00;0,00
A2QFA4;Array Technologies Inc.;US04271T1007;Solar;Technologie;54;26;-8,50;-9,63;-33,01;0,671;75;1,55;26,37;1,83;17,35;12,53;74,10;95;486,06;105,51;4,07;30,18;239,08;38,91;48;43,42;12,24;24,84;1,79;1,20;181,57;45,11;85,22;4;0,00;-;0,00;0,00
STAB1L;Stabilus SE;DE000STAB1L8;Spezielle Industriemaschinen;Industrie;85;77;-0,60;5,24;-12,35;0,268;55;1,06;21,18;-;13,05;12,64;21,82;49;26,26;4,45;8,87;9,12;6,96;3,74;83;17,76;13,19;52,55;2,55;1,65;43,64;22,93;1.111,16;61;3,31;41,97;2,90;3,00
A3CSML;General Electric Co.;US3696043013;Spezielle Industriemaschinen;Industrie;32;89;6,67;46,70;-9,44;0,307;22;1,46;33,32;1,49;45,18;24,29;22,10;45;-35,75;-88,75;-18,58;10,60;3.828,20;86,01;39;28,59;15,85;19,37;1,16;0,81;95,54;18,50;187,87;32;1,38;6,91;0,40;0,40
723610;Siemens AG;DE0007236101;Spezielle Industriemaschinen;Industrie;52;58;-14,01;14,83;-23,86;0,237;60;1,37;18,00;1,02;13,11;12,39;39,07;42;-6,72;36,20;7,62;3,82;108,55;5,79;45;19,61;17,41;32,27;1,38;0,97;103,56;33,42;1.138,32;52;4,94;92,59;3,50;3,80
860180;Schneider Electric SE;FR0000121972;Spezielle Industriemaschinen;Industrie;35;69;-11,19;10,47;-15,71;0,228;21;2,49;27,48;2,14;18,16;16,72;22,88;61;40,19;85,28;5,51;4,58;25,21;8,61;42;15,57;16,07;43,58;0,91;0,56;41,13;17,93;2.447,26;50;2,01;51,22;2,50;2,70
A1J88N;Eaton Corporation PLC;IE00B8KQN827;Spezielle Industriemaschinen;Industrie;47;88;19,26;40,20;-18,76;0,265;12;3,85;45,79;2,17;22,16;19,98;21,20;65;6,88;78,26;11,29;6,66;42,43;10,95;63;15,79;15,44;48,66;1,38;0,73;53,49;26,03;2.121,53;41;1,71;53,58;1,70;1,80
STRA55;STRATEC SE;DE000STRA555;Medizinische Geräte;Gesundheitswesen;65;7;-40,80;-56,21;-60,09;0,325;73;2,07;neg.;0,98;21,61;14,88;65,64;70;47,32;130,16;0,76;9,18;-28,37;45,23;75;8,92;10,07;56,65;3,51;1,37;38,70;21,92;2.159,43;52;2,19;40,42;2,30;2,60
850103;Abbott Laboratories;US0028241000;Medizinische Geräte;Gesundheitswesen;61;66;-11,76;2,48;-15,89;0,214;33;4,02;23,12;23,59;21,91;20,94;19,90;42;30,51;228,78;-8,58;4,94;11,82;4,83;75;14,01;17,11;49,28;1,63;1,23;48,29;23,80;1.588,53;50;3,53;49,10;2,00;2,20
864952;Stryker Corp.;US8636671013;Medizinische Geräte;Gesundheitswesen;39;72;-11,82;22,00;-13,22;0,255;18;5,32;55,97;2,66;25,66;23,20;18,33;72;49,02;9,16;9,86;7,57;66,46;10,63;51;16,40;18,03;45,05;1,63;0,87;78,53;35,38;5.182,35;33;1,10;45,95;0,90;1,00
A14M2J;Medtronic Inc.;IE00BTN1Y115;Medizinische Geräte;Gesundheitswesen;47;44;-18,68;-12,39;-20,73;0,237;51;3,07;26,29;1,44;29,92;14,28;23,16;31;5,27;48,74;-1,45;3,01;-24,40;80,80;72;6,97;19,44;56,61;2,39;1,54;47,32;26,79;943,40;45;3,61;96,45;2,99;3,60
884113;Boston Scientific Corp.;US1011371077;Medizinische Geräte;Gesundheitswesen;32;92;-1,69;24,40;-8,87;0,205;31;5,47;91,31;1,58;25,25;22,47;20,83;83;43,49;65,06;11,14;8,55;343,84;12,36;36;4,85;13,22;54,13;1,51;0,76;52,82;28,59;342,77;0;0,00;-;0,00;0,00
729700;Südzucker AG;DE0007297004;Verpackte Lebensmittel;Defensive Konsumgüter;79;43;-22,16;9,42;-25,70;0,293;58;0,29;neg.;17,34;12,45;5,09;25,55;90;57,90;-35,24;24,99;12,29;503,13;38,91;48;18,41;10,24;33,26;1,94;0,67;70,78;23,54;1.343,14;74;4,97;36,27;2,49;5,70
A0Q4DC;Nestlé S.A.;CH0038863350;Verpackte Lebensmittel;Defensive Konsumgüter;15;61;-9,68;-5,33;-15,11;0,160;16;2,91;42,18;3,66;20,11;18,69;21,87;33;3,75;45,89;0,44;3,48;43,33;7,61;19;24,01;13,87;31,06;0,88;0,45;129,37;40,18;1.003,60;49;5,21;86,26;3,10;3,30
A14TU4;Kraft Heinz Co., The;US5007541064;Verpackte Lebensmittel;Defensive Konsumgüter;30;44;-19,75;-10,71;-26,54;0,175;62;1,44;37,30;1,39;10,86;10,56;24,87;16;3,06;-65,36;2,22;1,35;50,07;2,82;29;6,40;17,42;53,78;0,87;0,35;41,23;22,17;422,04;63;4,76;83,77;5,10;5,10
853862;General Mills Inc.;US3703341046;Verpackte Lebensmittel;Defensive Konsumgüter;24;35;-27,57;-17,63;-30,18;0,188;41;1,86;22,40;1,90;18,18;14,14;11,07;29;22,41;53,71;5,80;2,74;-2,49;2,95;23;23,49;18,79;33,22;0,69;0,36;115,46;38,36;892,86;72;7,22;51,28;2,57;3,70
851194;Danone S.A.;FR0000120644;Verpackte Lebensmittel;Defensive Konsumgüter;30;78;-9,14;7,54;-12,64;0,143;34;1,17;17,29;3,40;15,66;14,97;8,76;25;12,97;-4,80;0,68;1,05;133,49;4,67;32;7,44;8,71;39,58;1,00;0,66;79,03;31,28;694,81;50;3,83;71,19;3,80;4,00
A1K023;SÜSS MicroTec SE;DE000A1K0235;Halbleiter Ausstattung und Materialien;Technologie;83;56;-10,62;86,28;-23,87;0,444;60;1,27;26,81;4,20;17,01;11,72;38,72;90;62,49;398,54;10,78;11,64;-2,63;45,06;74;16,01;11,48;50,33;1,95;0,83;11,26;5,66;6.944,00;34;0,91;15,63;0,80;1,00
A1J4U4;ASML Holding N.V.;NL0010273215;Halbleiter Ausstattung und Materialien;Technologie;65;62;-3,25;15,58;-21,04;0,316;29;8,55;38,10;1,26;28,08;27,38;27,84;86;148,89;218,79;28,64;3,41;37,52;7,17;72;81,25;33,05;24,27;1,28;0,80;48,35;11,74;10.718,59;39;2,06;41,05;1,20;1,30
865177;Applied Materials Inc.;US0382221051;Halbleiter Ausstattung und Materialien;Technologie;69;86;19,24;64,37;-12,74;0,380;33;4,52;25,68;4,59;17,03;17,37;17,63;38;57,56;164,06;2,08;-0,61;5,76;-1,92;86;47,44;29,12;45,63;2,16;1,23;47,80;21,81;3.432,89;40;3,24;13,71;0,80;0,90
869686;Lam Research Corp.;US5128071082;Halbleiter Ausstattung und Materialien;Technologie;61;78;17,88;64,19;-16,54;0,405;31;5,01;18,16;2,35;17,89;21,77;15,82;23;51,69;90,33;1,17;-15,98;1,40;-17,87;84;62,27;30,39;43,71;3,16;1,96;61,04;26,68;2.840,08;43;3,56;21,60;1,07;1,30
865884;KLA Corp.;US4824801009;Halbleiter Ausstattung und Materialien;Technologie;61;91;26,00;61,41;-9,82;0,363;27;6,41;20,87;2,69;19,75;21,02;15,78;57;109,93;195,33;13,94;-8,62;10,17;-8,41;66;156,78;38,93;20,75;2,24;1,37;207,66;43,09;1.376,08;49;3,03;11,57;-;1,10
744600;TAKKT AG;DE0007446007;Geschäftsausstattung & Zubehör;Industrie;68;50;-17,28;-7,52;-20,34;0,270;66;0,64;12,49;1,48;13,58;11,55;23,00;20;8,52;-32,84;-4,12;3,85;0,00;17,52;62;8,76;6,33;62,40;1,63;0,79;17,75;11,08;1.449,82;87;5,56;66,67;6,00;6,50
A0CA2A;HNI Corp.;US4042511000;Geschäftsausstattung & Zubehör;Industrie;68;91;30,49;22,22;-7,04;0,331;45;0,67;146,91;1,67;15,91;13,18;21,41;46;9,39;0,82;4,58;13,88;-27,36;20,74;46;10,67;4,88;43,58;1,19;0,59;48,78;21,26;1.763,64;71;3,70;43,54;3,90;4,10
912283;Steelcase Inc.;US8581552036;Geschäftsausstattung & Zubehör;Industrie;32;86;27,84;53,16;-10,78;0,437;32;0,39;60,65;1,83;52,47;12,86;1,92;61;-7,13;-21,70;16,59;-1,08;900,00;176,67;23;6,63;3,37;37,51;1,47;0,78;84,22;31,59;281,69;38;3,58;148,33;5,08;3,70
854667;ME Group International Plc;GB0008481250;Geschäftsausstattung & Zubehör;Industrie;-;73;11,23;47,60;-22,47;0,413;44;2,09;15,90;-;-;-;;-;-;-;-;-;-;-;79;29,68;21,73;40,64;1,85;1,44;89,02;36,18;2.580,43;77;3,55;54,74;-;-
850998;Ennis Inc.;US2933891028;Geschäftsausstattung & Zubehör;Industrie;98;86;5,79;-1,71;-9,67;0,196;74;1,27;13,06;0,73;13,51;13,48;;21;3,77;5,52;7,96;-3,69;63,96;-16,39;97;13,98;14,34;84,16;4,77;3,58;3,93;3,30;466.144,44;80;4,71;54,95;4,60;4,80
TLX100;Talanx AG;DE000TLX1005;Versicherung - Diversifizierte;Finanzdienstleistungen;84;99;26,82;51,45;-12,83;0,201;68;0,29;4,29;-;9,88;8,90;3,37;57;27,61;108,97;-12,00;9,40;25,47;11,60;36;14,98;7,49;3,87;-;-;127,70;4,94;1.864,64;69;3,33;43,20;3,90;4,20
854075;Berkshire Hathaway Inc.;US0846701086;Versicherung - Diversifizierte;Finanzdienstleistungen;47;95;8,17;7,44;-8,51;0,166;17;1,90;39,81;9,95;20,36;19,23;15,66;91;40,67;930,69;35,38;16,03;62,28;5,86;60;17,31;28,04;49,80;-;-;25,99;12,94;-602,57;6;1,25;-;0,00;0,00
840400;Allianz SE;DE0008404005;Versicherung - Diversifizierte;Finanzdienstleistungen;83;92;-4,04;19,38;-7,25;0,163;62;0,73;360,23;0,90;9,45;8,43;17,30;74;52,56;32,01;37,41;2,97;40,73;12,06;42;15,75;10,67;5,04;-;-;69,53;3,50;771,00;67;5,39;70,11;5,60;6,00
579919;Zurich Insurance Group AG;CH0011075394;Versicherung - Diversifizierte;Finanzdienstleistungen;77;83;2,51;2,68;-5,66;0,160;49;1,01;12,57;1,88;12,86;11,66;8,29;59;16,93;46,05;33,24;3,55;18,21;9,58;54;18,41;10,74;7,05;-;-;58,84;4,15;1.528,34;87;8,84;-;6,10;6,60
855705;AXA S.A.;FR0000120628;Versicherung - Diversifizierte;Finanzdienstleistungen;81;80;-8,46;8,59;-10,65;0,202;76;0,60;11,73;1,12;8,09;7,47;24,97;29;-34,43;325,70;-28,89;4,40;18,42;8,19;36;13,14;8,84;6,51;-;-;140,56;9,15;1.926,00;93;9,70;60,07;6,80;7,40
TRAT0N;TRATON SE;DE000TRAT0N7;Farm & Schwere Baumaschinen;Industrie;66;74;-11,37;44,53;-14,85;0,277;86;0,22;neg.;-;3,46;3,90;48,28;59;73,45;89,67;11,49;-1,52;131,27;-11,31;10;11,43;6,37;24,66;0,84;0,45;95,05;28,76;439,87;85;3,58;54,95;8,10;7,80
850598;Caterpillar Inc.;US1491231015;Farm & Schwere Baumaschinen;Industrie;56;88;12,31;31,92;-14,63;0,283;43;2,08;29,94;1,33;12,50;11,87;14,91;61;22,36;92,78;12,68;3,69;57,47;5,26;39;49,23;17,64;19,37;1,39;0,79;233,11;45,14;2.075,62;55;4,74;37,26;2,00;2,10
850866;Deere & Co.;US2441991054;Farm & Schwere Baumaschinen;Industrie;61;66;-2,59;-1,32;-16,07;0,264;40;1,93;157,34;1,06;11,12;11,48;17,15;61;54,57;362,05;9,89;-0,87;44,81;-3,13;61;47,73;24,60;22,51;1,93;1,64;257,63;57,98;959,42;53;6,60;18,73;1,30;1,40
861114;Paccar Inc.;US6937181088;Farm & Schwere Baumaschinen;Industrie;73;98;11,16;36,41;-8,96;0,235;34;1,35;31,52;8,26;9,57;11,72;9,76;47;40,54;105,36;14,58;-9,38;48,55;-18,19;72;26,42;15,30;39,57;2,60;2,30;88,71;35,10;770,52;60;1,21;48,99;4,20;3,90
871229;Volvo (A);SE0000115420;Farm & Schwere Baumaschinen;Industrie;66;85;-0,21;10,89;-8,11;0,268;54;0,89;64,16;1,69;8,23;10,57;16,09;45;35,45;111,01;11,80;-7,03;60,65;-21,10;43;24,77;10,46;25,87;1,28;0,91;126,02;32,60;3.840,83;75;3,08;43,51;7,60;3,80
A0JL9W;VERBIO Vereinigt.BioEnergie AG;DE000A0JL9W6;Spezialchemikalien;Grundstoffe;41;17;3,11;-55,67;-59,50;0,415;33;1,17;neg.;5,80;9,77;17,05;65,16;39;121,60;147,96;8,60;-12,26;-58,15;0,14;89;15,30;10,22;70,11;2,58;1,13;20,89;14,64;10.777,55;37;0,52;19,80;-;0,60
A3D7VW;Linde PLC;IE000S9YS762;Spezialchemikalien;Grundstoffe;32;95;0,34;28,07;-6,20;0,209;8;5,58;33,94;3,01;26,36;24,21;14,44;61;123,60;4,95;-0,57;5,33;67,66;8,92;36;14,30;22,96;50,25;0,79;0,63;46,94;23,59;2.678,14;43;3,31;56,87;1,40;1,50
850133;Air Liquide-SA Ét.Expl.P.G.Cl.;FR0000120073;Spezialchemikalien;Grundstoffe;24;89;-6,87;14,89;-10,04;0,168;10;2,82;30,54;2,31;23,52;21,63;18,39;45;34,30;58,99;-5,73;5,02;22,91;8,73;27;13,74;15,86;47,93;0,93;0,54;56,35;27,01;1.166,38;45;1,90;55,98;2,10;2,20
854912;Air Products & Chemicals Inc.;US0091581068;Spezialchemikalien;Grundstoffe;56;76;-4,28;16,36;-14,55;0,239;13;4,99;230,48;1,69;24,42;21,79;18,44;59;42,72;68,01;0,36;6,76;12,94;12,05;76;15,77;22,45;48,34;1,81;1,51;63,35;30,62;2.252,11;52;2,42;41,33;2,40;2,60
856050;Sherwin-Williams Co.;US8243481061;Spezialchemikalien;Grundstoffe;13;78;1,45;15,48;-15,44;0,273;10;2,75;56,68;2,42;24,36;22,07;24,11;54;30,13;147,69;3,02;3,19;25,69;10,42;11;80,01;14,94;13,73;0,99;0,46;403,21;55,36;758,42;37;2,04;31,15;0,90;1,00
766710;Vossloh AG;DE0007667107;Eisenbahnen;Industrie;69;73;-10,02;3,57;-14,99;0,200;57;0,57;35,18;1,98;15,26;12,73;28,08;74;34,71;116,44;11,39;5,98;3,67;19,82;43;8,79;9,22;43,68;1,48;0,79;52,80;23,06;485,71;56;2,53;42,02;2,80;3,00
858144;Union Pacific Corp.;US9078181081;Eisenbahnen;Industrie;17;86;6,03;11,46;-11,69;0,242;11;5,11;28,20;3,02;20,90;18,68;13,24;23;5,30;27,66;-3,35;4,41;-9,71;12,03;18;51,98;40,52;18,58;0,72;0,53;287,40;53,41;813,77;63;5,38;45,32;2,50;2,60
897879;Canadian National Railway Co.;CA1363751027;Eisenbahnen;Industrie;26;55;-6,88;-16,81;-20,35;0,194;25;5,69;25,57;1,22;20,03;17,99;16,92;27;16,88;22,58;-2,15;4,86;-3,22;11,33;38;24,97;43,58;42,21;0,84;0,45;74,33;31,37;1.334,12;63;6,87;39,38;2,20;2,30
A3D9ZG;Canadian Pacific Kansas City Limited;CA13646K1084;Eisenbahnen;Industrie;30;63;-12,34;0,58;-16,56;0,219;29;9,23;45,01;0,79;25,58;21,29;21,23;86;85,11;39,83;53,65;10,88;0,99;20,16;18;11,35;-21,87;52,91;0,59;0,46;51,23;27,11;735,74;32;0,75;20,16;0,80;0,90
865857;CSX Corp.;US1264081035;Eisenbahnen;Industrie;47;86;-2,03;11,63;-10,59;0,220;21;4,23;22,89;2,51;16,73;15,41;17,77;21;19,03;42,90;-1,83;2,28;-5,71;8,54;66;32,38;40,83;30,10;1,56;1,38;146,93;44,22;829,65;56;8,12;21,03;1,40;1,50
WACK01;Wacker Neuson SE;DE000WACK012;Farm & Schwere Baumaschinen;Industrie;91;42;-21,00;8,33;-29,67;0,303;86;0,57;neg.;0,39;5,92;7,12;66,47;51;55,93;42,85;18,38;-2,20;40,13;-16,83;71;14,66;11,28;60,01;1,94;0,66;26,15;15,69;1.897,20;87;5,18;47,62;6,90;6,40
850598;Caterpillar Inc.;US1491231015;Farm & Schwere Baumaschinen;Industrie;56;88;12,26;31,86;-14,65;0,283;43;2,08;29,94;1,33;12,50;11,87;14,97;61;22,36;92,78;12,68;3,69;57,47;5,26;39;49,23;17,64;19,37;1,39;0,79;233,11;45,14;2.075,62;55;4,74;37,26;2,00;2,10
850866;Deere & Co.;US2441991054;Farm & Schwere Baumaschinen;Industrie;61;66;-2,66;-1,40;-16,07;0,264;40;1,93;157,34;1,06;11,12;11,48;17,24;61;54,57;362,05;9,89;-0,87;44,81;-3,13;61;47,73;24,60;22,51;1,93;1,64;257,63;57,98;959,42;53;6,60;18,73;1,30;1,40
861114;Paccar Inc.;US6937181088;Farm & Schwere Baumaschinen;Industrie;73;98;11,13;36,38;-8,96;0,235;34;1,35;31,52;8,26;9,57;11,72;9,78;47;40,54;105,36;14,58;-9,38;48,55;-18,19;72;26,42;15,30;39,57;2,60;2,30;88,71;35,10;770,52;60;1,21;48,99;4,20;3,90
871229;Volvo (A);SE0000115420;Farm & Schwere Baumaschinen;Industrie;66;85;-0,21;10,89;-8,11;0,268;54;0,89;64,16;1,69;8,23;10,57;16,09;45;35,45;111,01;11,80;-7,03;60,65;-21,10;43;24,77;10,46;25,87;1,28;0,91;126,02;32,60;3.840,83;75;3,08;43,51;7,60;3,80
A2N4H0;Westwing Group SE;DE000A2N4H07;Einrichtung, Ausstattung und Geräte;Zyklische Konsumgüter;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
856331;Whirlpool Corp.;US9633201069;Einrichtung, Ausstattung und Geräte;Zyklische Konsumgüter;25;52;73;15;4;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A0BLAA;Tempur Sealy International Inc;US88023U1016;Einrichtung, Ausstattung und Geräte;Zyklische Konsumgüter;40;78;51;72;16;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
