WKN;Name;ISIN;Branche;Sektor;Stock3Score;Momentum & Vola;Kursperform 6 M;Kursperform 1 J;Delta 52 Wochen Hoch;Vola 1 J;Bewertung;KUV;Free Cash Flow;PEG Ratio;KGV (2023);KGV (2024);Kursziel;Wachstum;Umsatzwachstum ueber 5 J;EPS-Wachstum ueber 5 J;Umsatzwachstum (2023);Umsatzwachstum (2024);Wachstum des verwaesserten Gewinns je Aktie (2023);Wachstum des verwaesserten Gewinns je Aktie (2024);Qualitaet und Verschuldung;Eigenkapitalrendite;Eigenkapitalquote;EBIT-Marge;Liquiditaet dritten Grades;Liquiditaet zweiten Grades;Verhaeltnis aus Schulden zum EK;Verhaeltnis aus Schulden und  Vermoegenswerten;Zinsdeckungsgrad;Dividende & Aktienrueckkaeufe;Gesamtrendite;Payout Ratio;Dividende (2023);Dividende (2024
865003;Tootsie Roll Industries Inc.;US8905161076;Konditoren;Defensive Konsumgüter;-;29;-22,58;-24,33;-32,89;0,260;5;2,96;44,81;3,43;-;-;-56,18;-;-;-;-;-;-;-;96;10,30;10,75;76,87;3,43;2,35;1,70;1,30;94.466,35;73;2,94;32,97;-;-
A14U5Z;Monster Beverage Corp. (NEW);US61174X1090;Getränke - Alkoholfreie;Defensive Konsumgüter;77;70;-5,78;12,96;-17,57;0,224;16;7,89;77,79;1,39;32,31;27,65;24,35;89;88,26;73,33;13,57;11,90;36,52;16,86;100;19,59;27,22;84,71;4,76;3,68;0,03;0,03;-;5;0,84;-;0,00;0,00
850663;The Coca-Cola Co.;US1912161007;Getränke - Alkoholfreie;Defensive Konsumgüter;26;58;-15,49;-3,41;-16,83;0,146;16;5,26;28,46;2,50;20,50;19,42;22,42;47;30,83;74,63;4,35;4,07;19,86;5,58;43;42,88;32,00;25,99;1,15;0,77;162,41;42,20;1.424,94;46;3,56;80,37;3,30;3,60
851995;PepsiCo Inc.;US7134481081;Getränke - Alkoholfreie;Defensive Konsumgüter;13;59;-12,57;-6,54;-17,70;0,153;15;2,42;46,35;2,47;21,46;19,94;17,87;45;42,49;-14,57;6,65;4,47;17,08;7,62;15;43,60;11,73;18,60;0,80;0,58;230,65;42,91;1.240,04;42;3,39;70,48;3,00;3,30
A2JQPZ;Keurig Dr Pepper Inc.;US49271V1008;Getränke - Alkoholfreie;Defensive Konsumgüter;26;36;-18,97;-23,80;-27,54;0,188;35;2,81;21,50;2,47;16,14;15,02;28,31;79;99,99;230,42;5,88;4,49;76,66;7,46;24;6,33;16,89;48,47;0,47;0,27;54,06;26,20;348,05;44;4,28;76,73;2,80;3,00
A2AJ8Q;Coca-Cola European Partn. PLC;GB00BDCPN049;Getränke - Alkoholfreie;Defensive Konsumgüter;52;86;-5,19;16,00;-10,89;0,174;58;1,51;19,74;-;14,93;13,85;18,20;66;60,16;95,53;6,51;6,16;11,39;7,83;18;22,08;12,72;25,41;0,89;0,60;159,89;40,62;1.593,89;63;3,01;51,06;3,30;3,60
501822;NetEase Inc.;US64110W1027;Elektronische Spiele und Multimedia;Kommunikationsdienstleistungen;93;86;23,97;73,65;-7,05;0,360;41;4,83;14,46;2,00;16,71;16,21;22,90;87;105,96;369,65;9,24;10,42;43,23;3,09;93;23,85;22,72;60,62;2,32;2,18;27,18;16,48;297.887,56;27;1,89;-;1,60;1,70
A0Q4K4;Activision Blizzard Inc.;US00507V1098;Elektronische Spiele und Multimedia;Kommunikationsdienstleistungen;69;98;10,73;29,13;-0,16;0,231;8;8,59;36,59;2,19;22,23;21,27;-0,71;65;29,07;74,80;28,59;1,34;118,95;4,49;91;11,10;30,84;70,27;4,07;3,71;18,77;13,19;1.714,81;31;1,06;51,56;0,50;0,30
878372;Electronic Arts Inc.;US2855121099;Elektronische Spiele und Multimedia;Kommunikationsdienstleistungen;77;86;1,13;5,18;-7,16;0,216;21;4,77;27,93;1,05;32,47;19,21;9,63;70;53,02;101,74;6,22;2,00;4,35;133,75;86;11,93;19,60;54,19;1,21;1,05;26,68;14,46;2.386,21;42;4,37;26,39;0,63;0,60
914508;Take-Two Interactive Softw.Inc;US8740541094;Elektronische Spiele und Multimedia;Kommunikationsdienstleistungen;5;83;13,87;16,33;-7,37;0,331;4;4,40;neg.;4,80;77,95;44,23;10,72;52;106,68;9,21;52,64;3,09;-;-54,17;9;-13,19;-24,60;57,01;0,65;0,48;38,56;21,98;-829,88;12;0,90;-;-;0,00
;Roblox;US7710491033;Elektronische Spiele und Multimedia;Kommunikationsdienstleistungen;1;8;-26,92;-27,15;-36,67;0,700;4;7,70;neg.;8,18;neg.;neg.;21,24;43;952,74;-1.231,42;53,75;16,44;-222,17;-195,95;14;-318,29;-45,48;5,69;1,55;1,35;508,72;28,96;-2.308,23;1;-;-;0,00;0,00
552484;Netflix Inc.;US64110L1061;Unterhaltung;Kommunikationsdienstleistungen;32;58;6,41;27,10;-28,62;0,396;20;5,00;103,97;1,45;29,22;22,97;29,38;91;113,39;326,21;6,61;13,03;17,31;27,18;51;20,26;17,26;42,76;1,17;0,96;69,08;29,54;845,38;4;0,58;-;0,00;0,00
855686;The Walt Disney Co.;US2546871060;Unterhaltung;Kommunikationsdienstleistungen;21;31;-13,65;-14,46;-28,35;0,322;41;1,78;191,72;0,97;22,90;17,89;23,53;68;49,91;-55,98;7,71;5,12;113,76;28,01;32;2,37;6,88;46,66;1,00;0,83;54,32;25,34;441,19;24;0,00;26,51;0,00;0,40
A3C291;UNIVERSAL MUSIC GROUP EO1;NL0015000IY2;Unterhaltung;Kommunikationsdienstleistungen;30;98;18,26;25,13;-4,39;0,236;12;4,19;28,93;2,62;23,44;20,49;8,68;83;81,27;72,60;5,59;8,49;96,68;14,34;25;48,96;15,42;20,20;0,55;0,32;113,70;22,97;1.423,53;25;2,06;118,60;2,50;2,80
A3DJQZ;Warner Bros Discovery;US9344231041;Unterhaltung;Kommunikationsdienstleistungen;1;13;-23,50;-16,10;-35,25;0,537;48;0,63;22,52;1,17;neg.;222,83;72,70;23;298,38;-193,64;24,32;2,65;-121,08;-94,10;3;-13,98;-13,97;35,15;0,93;0,76;104,04;36,57;-404,22;0;0,00;-;0,00;0,00
A0H0VZ;Live Nation Entertainment Inc.;US5380341090;Unterhaltung;Kommunikationsdienstleistungen;17;69;23,42;3,67;-18,87;0,339;40;1,02;17,56;1,02;72,78;47,36;32,19;96;88,38;1.160,21;21,82;7,70;71,85;53,65;2;-;5,40;-2,23;0,98;0,86;419,39;46,77;281,50;1;0,00;-;0,00;0,00
918422;NVIDIA Corp.;US67066G1040;Halbleiter;Technologie;80;78;55,68;250,15;-16,05;0,519;33;33,44;276,12;0,94;83,14;39,50;56,22;89;367,36;527,44;0,22;102,99;-54,81;506,94;85;40,22;34,74;53,67;3,52;2,61;54,44;29,21;1.695,80;26;0,76;9,20;0,08;0,00
A2JG9Z;Broadcom Inc.;US11135F1012;Halbleiter;Technologie;80;98;40,13;103,77;-4,20;0,321;36;10,43;24,87;1,34;21,07;19,15;10,87;79;71,79;48,43;7,87;9,32;53,84;9,99;64;64,57;46,18;31,00;2,62;2,18;174,01;53,95;815,83;55;4,34;63,86;2,10;2,20
863186;Advanced Micro Devices Inc.;US0079031078;Halbleiter;Technologie;69;66;13,38;78,53;-23,08;0,489;33;7,77;54,05;1,20;37,13;24,74;38,63;95;253,10;709,40;-3,13;20,00;223,76;50,07;81;-0,05;-1,07;81,02;2,36;1,57;5,23;4,24;1.445,45;5;0,92;-;0,00;0,00
855681;Intel Corp.;US4581401001;Halbleiter;Technologie;29;80;15,49;37,08;-11,05;0,386;21;2,77;neg.;1,76;56,30;20,54;2,40;19;-25,89;-86,15;-16,73;12,03;-67,54;174,12;63;-0,91;-4,23;55,70;1,57;1,01;41,42;23,07;1.666,13;31;2,76;75,26;1,90;1,50
852654;Texas Instruments Inc.;US8825081040;Halbleiter;Technologie;56;52;-14,04;-0,54;-19,30;0,255;28;7,52;24,83;2,51;20,80;19,90;20,31;17;14,04;27,86;-10,12;7,15;-23,23;4,47;86;50,93;48,05;53,58;4,70;3,67;62,28;33,37;4.787,85;67;4,33;50,80;3,30;3,50
A1C5WJ;NXP Semiconductors NV;NL0009538784;Halbleiter;Technologie;77;78;13,90;36,71;-14,35;0,353;62;3,94;22,87;1,59;13,91;13,01;21,37;57;40,78;104,79;0,29;5,20;30,49;6,98;65;36,65;29,01;32,06;2,12;1,47;149,89;48,05;887,59;53;4,24;32,04;2,00;2,20
918422;NVIDIA Corp.;US67066G1040;Halbleiter;Technologie;80;78;55,68;250,15;-16,05;0,519;33;33,44;276,12;0,94;83,14;39,50;56,22;89;367,36;527,44;0,22;102,99;-54,81;506,94;85;40,22;34,74;53,67;3,52;2,61;54,44;29,21;1.695,80;26;0,76;9,20;0,08;0,00
A2JG9Z;Broadcom Inc.;US11135F1012;Halbleiter;Technologie;80;98;40,13;103,77;-4,20;0,321;36;10,43;24,87;1,34;21,07;19,15;10,87;79;71,79;48,43;7,87;9,32;53,84;9,99;64;64,57;46,18;31,00;2,62;2,18;174,01;53,95;815,83;55;4,34;63,86;2,10;2,20
863186;Advanced Micro Devices Inc.;US0079031078;Halbleiter;Technologie;69;66;13,38;78,53;-23,08;0,489;33;7,77;54,05;1,20;37,13;24,74;38,63;95;253,10;709,40;-3,13;20,00;223,76;50,07;81;-0,05;-1,07;81,02;2,36;1,57;5,23;4,24;1.445,45;5;0,92;-;0,00;0,00
855681;Intel Corp.;US4581401001;Halbleiter;Technologie;29;80;15,49;37,08;-11,05;0,386;21;2,77;neg.;1,76;56,30;20,54;2,40;19;-25,89;-86,15;-16,73;12,03;-67,54;174,12;63;-0,91;-4,23;55,70;1,57;1,01;41,42;23,07;1.666,13;31;2,76;75,26;1,90;1,50
A1H5JY;O'Reilly Automotive Inc.[New];US67103H1077;Fachhandel;Zyklische Konsumgüter;17;97;2,78;26,13;-4,63;0,199;18;3,90;24,26;1,40;24,59;22,05;9,88;74;64,31;132,47;8,74;5,83;12,07;11,43;7;-;20,20;-8,40;0,71;0,08;4.395,25;51,83;1.874,45;20;5,17;-;0,00;0,00
A3DSL8;Alimentation Couche-Tard;CA01626P1484;Fachhandel;Zyklische Konsumgüter;52;98;16,38;13,88;-2,45;0,200;43;0,74;19,86;1,50;17,51;17,69;13,65;40;19,39;87,76;14,40;-1,77;21,43;-0,92;47;23,76;6,20;43,25;1,10;0,64;75,34;32,59;1.213,37;36;5,04;-;-;0,90
881531;AutoZone Inc.;US0533321024;Fachhandel;Zyklische Konsumgüter;19;88;-2,68;14,83;-4,39;0,216;25;2,85;22,21;1,30;19,87;17,70;7,91;75;55,57;166,91;7,41;7,44;9,54;12,23;6;-;19,64;-23,17;0,77;0,09;979,59;60,86;1.657,57;22;7,78;-;0,00;0,00
889826;Tractor Supply Co.;US8923561067;Fachhandel;Zyklische Konsumgüter;36;53;-16,72;5,63;-17,44;0,247;26;1,56;45,50;1,89;20,28;18,90;12,99;66;87,41;135,81;4,38;5,17;4,64;7,55;40;55,45;9,95;24,06;1,33;0,09;209,08;50,30;4.684,30;55;4,49;39,03;2,00;2,20
858406;Genuine Parts Co.;US3724601055;Fachhandel;Zyklische Konsumgüter;48;52;-11,80;-6,44;-20,77;0,224;45;0,93;22,10;1,47;16,12;14,85;16,05;55;38,86;66,80;5,78;4,95;10,33;8,59;44;31,45;7,35;22,98;1,15;0,37;109,88;25,25;2.228,39;58;3,75;43,08;2,50;2,70
A2DNKR;Okta Inc.;US6792951054;Software-Infrastruktur;Technologie;22;78;29,15;44,57;;;5;6,71;261,76;2,08;;72,81;11,76;81;454,76;0,24;42,92;19,21;;-77,27;42;-10,67;-27,26;58,73;2,20;2,09;43,30;25,43;-7.181,82;1;0,00;;-;0,00
870747;Microsoft Corp.;US5949181045;Software-Infrastruktur;Technologie;80;92;15,38;39,59;;;13;11,71;42,30;2,43;36,89;29,96;20,42;79;87,28;115,60;6,88;11,21;0,31;13,35;92;38,82;43,07;50,06;1,77;1,54;29,08;14,56;4.638,16;36;1,73;28,10;0,80;0,90
871460;Oracle Corp.;US68389X1054;Software-Infrastruktur;Technologie;29;91;14,15;63,27;;;31;5,94;45,37;1,25;34,96;19,53;19,33;87;36,06;81,77;17,71;7,60;27,39;76,00;4;-;26,36;0,80;0,91;0,74;8.432,53;67,33;360,37;39;1,82;46,91;1,51;1,30
871981;Adobe Inc.;US00724F1012;Software-Infrastruktur;Technologie;73;98;46,71;86,06;;;9;13,66;35,33;2,08;35,03;31,01;7,47;91;114,57;201,61;10,05;12,29;57,20;12,98;91;33,97;35,06;51,72;1,11;1,00;32,97;17,05;5.464,29;10;2,08;-;0,00;0,00
A1JZ0Q;Palo Alto Networks Inc.;US6974351057;Software-Infrastruktur;Technologie;39;94;35,92;63,23;;;13;13,00;30,97;1,75;386,54;48,94;7,25;99;182,68;1.741,44;25,29;18,92;-;268,29;25;44,90;8,51;12,06;0,78;0,68;129,87;15,66;2.862,44;6;0,38;-;-;0,00
861114;Paccar Inc.;US6937181088;Farm & Schwere Baumaschinen;Industrie;73;98;15,25;38,28;-7,11;0,239;35;1,37;32,03;8,39;9,78;11,95;7,59;47;40,54;105,36;14,58;-9,38;48,55;-18,19;72;26,42;15,30;39,57;2,60;2,30;88,71;35,10;770,52;60;1,21;48,99;4,20;3,80
850598;Caterpillar Inc.;US1491231015;Farm & Schwere Baumaschinen;Industrie;56;92;16,62;40,57;-11,79;0,288;39;2,18;30,89;1,39;12,94;12,29;11,24;61;22,36;92,78;12,68;3,69;57,47;5,26;39;49,23;17,64;19,37;1,39;0,79;233,11;45,14;2.075,62;53;4,74;37,26;1,90;2,00
850866;Deere & Co.;US2441991054;Farm & Schwere Baumaschinen;Industrie;60;66;-2,08;2,94;-15,06;0,268;39;1,92;158,26;1,06;11,27;11,63;15,85;61;54,57;362,05;9,89;-0,87;44,81;-3,13;60;47,73;24,60;22,51;1,93;1,64;257,63;57,98;959,42;53;6,60;18,73;1,30;1,40
871229;Volvo (A);SE0000115420;Farm & Schwere Baumaschinen;Industrie;65;88;3,79;14,20;-4,92;0,266;49;0,89;64,16;1,69;8,89;11,27;10,66;45;35,47;106,83;11,83;-7,21;57,47;-20,34;43;24,77;10,46;25,87;1,28;0,91;126,02;32,60;3.840,83;74;3,08;43,51;7,10;3,60
DTR0CK;Daimler Truck Holding;DE000DTR0CK8;Farm & Schwere Baumaschinen;Industrie;89;81;1,09;13,39;-10,90;0,226;78;0,46;neg.;-;6,95;7,15;45,57;43;28,14;99,94;9,92;-2,04;35,58;-3,15;63;16,05;8,55;31,35;1,54;1,01;93,92;29,44;1.507,76;81;3,96;40,12;5,80;6,00
868284;Paychex Inc.;US7043261079;Personalvermittlung und Personaldienstleistungen;Industrie;52;86;8,43;6,12;-8,81;0,227;7;8,49;28,12;3,13;25,28;25,13;2,72;63;41,44;63,42;8,57;6,57;11,98;8,95;77;47,50;42,11;33,12;1,30;0,52;24,78;8,21;5.680,93;42;2,91;75,81;3,39;2,90
850347;Automatic Data Processing Inc.;US0530151036;Personalvermittlung und Personaldienstleistungen;Industrie;35;91;15,14;6,44;-9,70;0,211;6;6,03;29,17;2,83;28,11;27,17;5,00;74;41,54;73,39;7,18;11,50;17,29;10,76;36;101,33;27,27;6,88;0,99;0,12;95,15;6,55;1.851,91;56;3,21;65,23;-;2,00
879309;Randstad N.V.;NL0000379121;Personalvermittlung und Personaldienstleistungen;Industrie;74;63;1,43;-2,15;-21,66;0,238;59;0,36;9,99;6,16;11,91;11,12;11,05;11;9,19;8,75;-5,69;1,67;-18,00;7,08;81;18,01;3,89;44,23;1,24;1,15;23,28;10,30;3.063,16;82;6,50;56,77;4,40;4,70
856701;Robert Half Inc;US7703231032;Personalvermittlung und Personaldienstleistungen;Industrie;57;60;1,19;-6,53;-15,85;0,304;24;1,19;13,38;4,26;20,12;18,29;-2,60;8;10,44;4,32;-11,50;0,17;-38,23;10,02;93;35,06;9,64;52,91;1,88;1,38;15,16;8,02;6.441,20;63;5,91;28,52;2,50;2,40
922031;Adecco Group AG;CH0012138605;Personalvermittlung und Personaldienstleistungen;Industrie;70;91;23,17;18,83;-7,89;0,267;53;0,27;33,30;3,39;13,43;11,22;8,53;29;-0,03;-0,37;0,92;1,52;34,63;19,70;48;9,02;2,07;29,28;1,18;1,07;95,34;27,91;1.020,41;85;6,62;-;6,80;6,80
A14R7U;PayPal Holdings Inc.;US70450Y1038;Kreditdienstleistungen;Finanzdienstleistungen;69;12;-24,16;-33,94;-39,75;0,390;75;2,28;14,13;0,48;11,26;9,88;49,63;89;92,32;184,91;7,98;8,96;136,06;13,96;80;20,67;18,96;25,76;1,28;1,23;51,38;13,23;1.207,24;22;7,43;-;0,00;0,00
A0NC7B;VISA Inc.;US92826C8394;Kreditdienstleistungen;Finanzdienstleistungen;83;96;1,22;27,39;-5,03;0,192;16;15,90;28,88;1,55;27,35;24,16;18,23;83;58,24;96,01;11,26;10,70;23,87;13,30;87;46,17;65,62;41,61;1,45;1,08;63,10;26,26;3.471,00;39;2,97;22,50;0,80;0,80
A0F602;MasterCard Inc.;US57636Q1040;Kreditdienstleistungen;Finanzdienstleistungen;60;98;4,86;32,06;-6,07;0,203;14;16,31;38,32;1,37;32,40;27,13;16,72;89;68,68;115,54;13,41;12,97;18,27;19,48;55;175,25;56,13;16,26;1,17;0,76;222,66;36,21;2.590,87;38;3,04;19,96;0,50;0,60
850226;American Express Co.;US0258161092;Kreditdienstleistungen;Finanzdienstleistungen;69;63;-7,20;5,25;-16,81;0,268;63;2,01;8,05;0,94;13,70;12,31;17,29;75;50,54;39,45;15,47;9,46;12,16;11,34;41;29,34;-;10,82;-;-;177,74;19,23;-;48;3,84;15,84;1,60;1,70
893413;Capital One Financial Corp.;US14040H1059;Kreditdienstleistungen;Finanzdienstleistungen;47;50;-1,38;0,74;-22,07;0,355;63;1,05;6,58;5,37;8,20;7,20;14,77;31;32,01;-1,64;6,29;3,83;-34,90;13,80;40;9,29;-;11,55;-;-;90,97;10,51;-;58;4,03;13,40;2,50;2,70
A2PR0M;Peloton Interactive Inc.;US70614W1009;Freizeit;Zyklische Konsumgüter;1;2;-45,80;-47,58;-74,34;0,797;35;0,64;neg.;-;-;neg.;75,42;6;204,22;-245,63;-21,83;-0,60;-;-135,39;10;-847,63;-41,46;-10,66;2,15;1,20;400,29;85,36;-1.195,57;6;0,00;-;-;0,00
859888;Hasbro Inc.;US4180561072;Freizeit;Zyklische Konsumgüter;24;50;13,10;-10,53;-21,16;0,356;50;1,45;59,20;1,06;14,52;11,55;39,98;57;20,98;128,26;-5,40;1,86;171,74;25,74;11;-9,46;-1,20;30,47;1,37;0,74;141,43;43,10;252,92;44;4,24;191,78;5,30;5,40
851704;Mattel Inc.;US5770811025;Freizeit;Zyklische Konsumgüter;22;83;30,24;6,42;-6,57;0,331;35;1,51;39,23;1,30;17,43;14,16;18,44;36;21,69;-22,12;1,09;4,08;8,75;23,11;50;12,29;8,05;33,29;2,30;1,37;129,96;43,26;479,72;5;0,96;167,03;0,00;0,00
A14U2K;Planet Fitness Inc.;US72703H1014;Freizeit;Zyklische Konsumgüter;12;17;-29,67;-10,10;-36,48;0,404;7;4,49;neg.;4,98;25,11;21,80;19,11;90;82,67;115,19;11,72;9,71;84,19;15,43;40;-;26,99;-6,97;2,27;1,95;260,98;82,00;282,15;20;4,00;-;0,00;0,00
900512;Games Workshop Group PLC;GB0003718474;Freizeit;Zyklische Konsumgüter;94;74;4,50;52,63;-15,33;0,317;18;7,39;20,92;-;25,14;23,18;13,33;71;90,62;114,70;13,50;3,89;4,81;6,33;98;57,34;36,43;71,94;3,61;2,62;21,22;15,27;19.055,56;71;4,21;68,39;3,44;4,20
851995;PepsiCo Inc.;US7134481081;Getränke - Alkoholfreie;Defensive Konsumgüter;13;59;-12,57;-6,54;-17,70;0,153;15;2,42;46,35;2,47;21,46;19,94;17,87;45;42,49;-14,57;6,65;4,47;17,08;7,62;15;43,60;11,73;18,60;0,80;0,58;230,65;42,91;1.240,04;42;3,39;70,48;3,00;3,30
850663;The Coca-Cola Co.;US1912161007;Getränke - Alkoholfreie;Defensive Konsumgüter;26;58;-15,49;-3,41;-16,83;0,146;16;5,26;28,46;2,50;20,50;19,42;22,42;47;30,83;74,63;4,35;4,07;19,86;5,58;43;42,88;32,00;25,99;1,15;0,77;162,41;42,20;1.424,94;46;3,56;80,37;3,30;3,60
A14U5Z;Monster Beverage Corp. (NEW);US61174X1090;Getränke - Alkoholfreie;Defensive Konsumgüter;77;70;-5,78;12,96;-17,57;0,224;16;7,89;77,79;1,39;32,31;27,65;24,35;89;88,26;73,33;13,57;11,90;36,52;16,86;100;19,59;27,22;84,71;4,76;3,68;0,03;0,03;-;5;0,84;-;0,00;0,00
A2JQPZ;Keurig Dr Pepper Inc.;US49271V1008;Getränke - Alkoholfreie;Defensive Konsumgüter;26;36;-18,97;-23,80;-27,54;0,188;35;2,81;21,50;2,47;16,14;15,02;28,31;79;99,99;230,42;5,88;4,49;76,66;7,46;24;6,33;16,89;48,47;0,47;0,27;54,06;26,20;348,05;44;4,28;76,73;2,80;3,00
A2AJ8Q;Coca-Cola European Partn. PLC;GB00BDCPN049;Getränke - Alkoholfreie;Defensive Konsumgüter;52;86;-5,19;16,00;-10,89;0,174;58;1,51;19,74;-;14,93;13,85;18,20;66;60,16;95,53;6,51;6,16;11,39;7,83;18;22,08;12,72;25,41;0,89;0,60;159,89;40,62;1.593,89;63;3,01;51,06;3,30;3,60
A2JRK6;PDD Holdings Inc;US7223041028;Internet-Einzelhandel;Zyklische Konsumgüter;96;83;51,14;93,30;-5,69;0,659;49;6,32;12,68;0,77;21,52;17,32;16,34;97;1.435,43;152,79;54,30;27,51;40,57;24,27;97;34,92;29,42;49,67;1,85;1,34;14,38;7,14;70.604,33;0;0,00;-;0,00;0,00
906866;Amazon.com Inc.;US0231351067;Internet-Einzelhandel;Zyklische Konsumgüter;10;75;23,43;11,35;-12,16;0,374;8;2,52;neg.;2,60;58,09;40,28;34,85;95;144,78;113,33;10,91;12,04;716,96;44,21;6;8,71;3,09;31,56;0,94;0,72;95,94;30,28;-150,78;0;0,00;-;0,00;0,00
A0MYNP;Mercadolibre Inc.;US58733R1023;Internet-Einzelhandel;Zyklische Konsumgüter;33;61;-6,34;48,59;-16,52;0,435;22;5,29;25,72;1,02;60,05;42,30;33,75;99;866,65;2.372,56;32,07;23,40;111,86;41,74;31;39,51;13,80;13,30;1,28;0,93;296,33;39,41;342,99;7;0,44;193,55;0,00;0,10
A2QEGF;Allegro.eu Registered Shares ZY -,01;LU2237380790;Internet-Einzelhandel;Zyklische Konsumgüter;21;47;-10,03;34,33;-26,11;0,404;13;3,38;27,28;-;33,30;21,06;38,10;91;443,99;118,44;19,49;14,08;-54,12;59,77;32;-17,37;-8,36;46,70;1,37;1,07;79,54;37,14;-197,34;4;0,00;-;0,00;0,20
A2QQZ2;Coupang;US22266T1097;Internet-Einzelhandel;Zyklische Konsumgüter;17;59;9,90;4,66;-15,02;0,449;11;1,44;neg.;-;59,48;35,25;26,68;93;489,41;-57,58;16,08;13,82;482,04;68,76;25;17,71;2,36;25,38;1,15;0,73;99,50;25,25;-242,69;0;0,00;-;0,00;0,00
883121;QUALCOMM Inc.;US7475251036;Halbleiter;Technologie;77;41;-6,46;-1,66;-20,69;0,360;68;3,28;20,08;1,08;13,36;12,10;23,96;40;57,84;145,02;-19,25;5,02;-27,90;10,41;78;46,93;26,33;36,75;1,75;1,01;85,95;31,59;3.160,82;64;4,95;25,54;2,80;2,90
918422;NVIDIA Corp.;US67066G1040;Halbleiter;Technologie;80;78;55,68;250,15;-16,05;0,519;33;33,44;276,12;0,94;83,14;39,50;56,22;89;367,36;527,44;0,22;102,99;-54,81;506,94;85;40,22;34,74;53,67;3,52;2,61;54,44;29,21;1.695,80;26;0,76;9,20;0,08;0,00
A2JG9Z;Broadcom Inc.;US11135F1012;Halbleiter;Technologie;80;98;40,13;103,77;-4,20;0,321;36;10,43;24,87;1,34;21,07;19,15;10,87;79;71,79;48,43;7,87;9,32;53,84;9,99;64;64,57;46,18;31,00;2,62;2,18;174,01;53,95;815,83;55;4,34;63,86;2,10;2,20
863186;Advanced Micro Devices Inc.;US0079031078;Halbleiter;Technologie;69;66;13,38;78,53;-23,08;0,489;33;7,77;54,05;1,20;37,13;24,74;38,63;95;253,10;709,40;-3,13;20,00;223,76;50,07;81;-0,05;-1,07;81,02;2,36;1,57;5,23;4,24;1.445,45;5;0,92;-;0,00;0,00
855681;Intel Corp.;US4581401001;Halbleiter;Technologie;29;80;15,49;37,08;-11,05;0,386;21;2,77;neg.;1,76;56,30;20,54;2,40;19;-25,89;-86,15;-16,73;12,03;-67,54;174,12;63;-0,91;-4,23;55,70;1,57;1,01;41,42;23,07;1.666,13;31;2,76;75,26;1,90;1,50
881535;Regeneron Pharmaceuticals Inc.;US75886F1075;Biotechnologie;Gesundheitswesen;80;91;3,50;16,45;-3,27;0,245;40;7,51;27,30;1,81;19,72;18,82;10,07;61;148,46;84,96;5,03;4,83;3,42;4,78;96;19,23;38,24;77,58;5,06;4,16;11,92;9,25;8.279,80;10;2,14;-;0,00;0,00
A3EU6F;Novo-Nordisk AS;DK0062498333;Biotechnologie;Gesundheitswesen;56;98;25,22;71,83;-5,73;0,298;7;14,45;42,50;5,30;38,71;32,18;-1,59;95;103,68;127,46;28,72;20,51;48,12;20,30;53;81,54;39,49;34,60;0,89;0,67;30,88;10,69;18.370,37;25;2,01;-;1,20;1,50
882807;Vertex Pharmaceuticals Inc.;US92532F1003;Biotechnologie;Gesundheitswesen;89;98;11,67;25,86;-2,23;0,243;43;10,22;24,48;0,53;25,25;23,20;5,68;79;224,11;76,67;10,60;6,56;12,24;8,83;97;24,56;45,81;76,65;4,83;4,46;6,47;4,96;7.823,36;3;0,42;-;0,00;0,00
A2QFAQ;Seagen Inc.;US81181C1045;Biotechnologie;Gesundheitswesen;19;92;5,17;65,49;-1,03;0,312;2;18,55;neg.;41,72;neg.;neg.;6,54;45;271,86;-350,53;24,06;33,05;-207,04;-135,69;78;-26,13;-34,78;76,30;3,42;2,73;1,55;1,18;-;0;0,00;-;0,00;0,00
A2N9D9;Moderna Inc.;US60770K1079;Biotechnologie;Gesundheitswesen;17;5;-39,06;-30,37;-60,41;0,495;51;3,25;7,39;-;neg.;neg.;104,30;4;5.527,19;-182,10;-63,48;-11,78;-119,11;-228,30;90;6,91;8,15;73,95;2,73;2,35;6,28;4,64;33.117,24;21;6,52;-;0,00;0,00
870053;Ross Stores Inc.;US7782961038;Einzelhandel der Bekleidung;Zyklische Konsumgüter;56;98;10,57;40,14;-4,45;0,244;19;2,09;43,43;1,73;28,62;22,42;11,08;42;33,57;21,63;-1,17;7,05;-10,06;18,86;70;37,44;11,42;31,97;1,90;1,29;133,06;42,53;2.567,46;55;3,74;7,65;1,05;1,20
A11873;Industria de Diseño Textil SA;ES0148396007;Einzelhandel der Bekleidung;Zyklische Konsumgüter;95;99;8,93;44,97;-6,41;0,201;25;3,18;16,54;1,82;23,21;20,39;12,58;86;38,41;52,06;17,51;11,11;27,35;26,73;92;31,73;18,68;56,73;1,80;1,34;32,90;18,66;3.820,83;43;2,17;-;-;4,40
854854;TJX Companies Inc.;US8725401090;Einzelhandel der Bekleidung;Zyklische Konsumgüter;47;100;14,39;36,84;-3,55;0,179;17;2,04;43,52;1,83;28,62;24,34;10,37;63;37,83;50,42;2,85;7,57;10,00;23,85;41;66,32;10,38;22,45;1,21;0,60;200,25;44,95;5.619,05;43;3,02;39,73;1,44;1,40
